coefficient,coupling_row_norm,estimate,name,reporting_multiplier,se_ambient,se_fixed_range,se_fixed_rank,sensitivity_0,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4
sundamage_gt5_0,5.06605380493251,0.03787023840336939,skin_baseline_K8_bcc_first_cap730.5,1.0,0.11042217645922374,0.09051589520528705,0.09051589520528705,5.066039049204399,0.0060063742601729146,0.010239663713724804,0.0011382727665723712,-0.0026987956084983606
treatment_1,0.09627017738417636,0.24532172631333826,skin_baseline_K8_bcc_first_cap730.5,1.0,0.12963980987776313,0.13131699490027435,0.13131699490027435,-0.03648816280114155,0.08432618175635946,-0.004888443499166495,0.022346038162142225,0.01739004882060827
baseline_Se20_1,0.5734483140442771,-0.09570807744654601,skin_baseline_K8_bcc_first_cap730.5,1.0,0.036818578623275165,0.03313138964351933,0.03313138964351933,-0.012895526314807827,-0.5731891201684183,0.0034031821781946325,-0.00599755907849354,-0.009129865169018186
history_none_1,1.3803476810362316,0.07698449467709464,skin_baseline_K8_bcc_first_cap730.5,1.0,0.2943482282297299,0.2985469028777076,0.2985469028777076,0.1544018696987568,-1.3710882789221193,0.001432930639370271,0.016599470784020517,-0.03686622922790888
history_SCC_only_1,0.9510831957790825,1.0052300798906222,skin_baseline_K8_bcc_first_cap730.5,1.0,0.10882118438074849,0.11584855493224126,0.11584855493224126,0.0922100110019065,-0.9460372092117029,0.0037717468313084464,0.0006544984046801572,-0.032488513493114234
history_both_1,0.9907598248715702,0.7662221104519118,skin_baseline_K8_bcc_first_cap730.5,1.0,0.11542885334150511,0.11826854749992512,0.11826854749992512,0.06687805012716568,-0.9884781266321387,-0.0014291872203241551,0.006275324842205301,0.0013884821079879232
AK_gt2_1,0.5219214421230547,0.5977584812285176,skin_baseline_K8_bcc_first_cap730.5,1.0,0.07579293102613867,0.07832656490467597,0.07832656490467597,-0.15133216001180824,0.49926313392691996,0.005280935531870704,0.0037902940083628417,-0.013951257530359534
age10_1,0.11906899482224724,0.15517770933219444,skin_baseline_K8_bcc_first_cap730.5,1.0,0.07436168604762945,0.07446239278586944,0.07446239278586944,-0.009644913815533385,0.11817142920406543,-0.0007004518944817371,0.01090867005701054,-0.0006517438688808755
male_1,0.8741524609400871,0.5612092682214245,skin_baseline_K8_bcc_first_cap730.5,1.0,0.11153160898141401,0.10859624221567421,0.10859624221567421,-0.04402707790848438,0.8716004679607425,0.004281018437997769,0.038994255889237814,-0.03127117710997744
drink_gt2_1,0.4829917209336287,0.14673614725486117,skin_baseline_K8_bcc_first_cap730.5,1.0,0.07010182083074552,0.06918579856814465,0.06918579856814465,-0.07834696823390896,-0.4761456917692033,-0.004726146662976383,-0.010955992360216306,0.016901628256854314
sundamage_gt5_1,1.9650858024932758,0.4875680179396631,skin_baseline_K8_bcc_first_cap730.5,1.0,0.19625252923488182,0.18947564059943028,0.18947564059943028,0.1188815881436125,1.961415302355247,-0.003084102858800486,0.009631970761887773,0.013308053823444984
treatment_0,0.48107520813192717,0.12544230288303665,skin_baseline_K4_scc_first_cap730.5,1.0,0.05220522720649796,0.04991951330728905,0.04991951330728905,0.4809333935824417,0.0024422621523156047,0.002392524066433976,-0.0010287583246841503,0.011121135595504185
baseline_Se20_0,0.043764006015286495,0.06791316762170196,skin_baseline_K4_scc_first_cap730.5,1.0,0.018599601739157316,0.019304011608225518,0.019304011608225518,0.04232965347063325,0.0030498713723566464,-0.0016072041409517942,0.0011916345977680495,-0.010496849337250121
history_none_0,2.588898882902916,-1.2711584954420478,skin_baseline_K4_scc_first_cap730.5,1.0,0.30284627230662914,0.28800736759487694,0.28800736759487694,2.587718945638437,-0.008137167285496998,-0.0769973220386737,-0.00015427124010277643,0.010642339389775666
history_SCC_only_0,3.4122800571569836,-1.2210714496785504,skin_baseline_K4_scc_first_cap730.5,1.0,0.10615104828486296,0.09195440114453253,0.09195440114453253,3.4115155449153827,0.004191021907041031,-0.07209895292240368,0.000980956260314997,-0.00029886393197864705
history_both_0,0.3498822535595924,-0.059738502344337543,skin_baseline_K4_scc_first_cap730.5,1.0,0.10651945636616096,0.10577113900331792,0.10577113900331792,-0.3491543639802526,-0.012220165721372028,-0.018601915622489258,-0.000351920758231152,0.003651562156135007
