case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
skin_rich_design,all_accepted,ambient,history_none_1,100,98,98,98,81,0.826530612244898,0.03824968444140503,-0.22477103691366962,0.646313748016807,0.4081393078505779,0.38235083909645495,1.5835616310042504,1.690368326493361
skin_rich_design,all_accepted,ambient,male_0,100,98,98,98,84,0.8571428571428571,0.03534797566467097,-0.002743441722088988,0.07892695179407372,0.07146557291077911,0.06472542539594801,1.1044052202955084,1.219411866530811
skin_rich_design,all_accepted,ambient,male_1,100,98,98,98,90,0.9183673469387755,0.027658405190977075,-0.0024830217089210817,0.17414813463902698,0.1352151218047588,0.11991168678292119,1.2879338665277744,1.4523032684403085
skin_rich_design,all_accepted,ambient,sundamage_gt5_0,100,98,98,98,84,0.8571428571428571,0.03534797566467097,-0.011521428562388338,0.07105449821401813,0.07502503593932901,0.06376425913980133,0.947077163301571,1.1143311186009888
skin_rich_design,all_accepted,ambient,sundamage_gt5_1,100,98,98,98,83,0.8469387755102041,0.03637018935823512,-0.014896762271561273,0.12346073416245279,0.11574933317166987,0.10437031116789425,1.066621558668904,1.1829104731119267
skin_rich_design,all_accepted,ambient,treatment_0,100,98,98,98,86,0.8775510204081632,0.033113168197086144,0.006267233391770187,0.06417150508477507,0.05122457960947588,0.053240344148119435,1.252748301186725,1.2053172478796184
skin_rich_design,all_accepted,ambient,treatment_1,100,98,98,98,83,0.8469387755102041,0.03637018935823512,0.0009602202731124632,0.11018906012965379,0.09380018281284651,0.09134562108779434,1.1747211660504646,1.2062872726405636
skin_rich_design,all_accepted,fixed_range,AK_gt2_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,0.0025484740928826953,0.0829346285676179,0.0669543606458776,0.06542161140415709,1.2386740425505682,1.2676946774555904
skin_rich_design,all_accepted,fixed_range,AK_gt2_1,100,98,98,98,72,0.7346938775510204,0.044597838311307154,0.020933627561236876,0.15475487412079975,0.10521621096813552,0.09982447735024905,1.4708272869440897,1.5502698158670967
skin_rich_design,all_accepted,fixed_range,age10_0,100,98,98,98,80,0.8163265306122449,0.039114891734690196,-0.0037862017244901167,0.03190788961461441,0.026814733337353902,0.026148394317288187,1.1899387255947669,1.2202619108247994
skin_rich_design,all_accepted,fixed_range,age10_1,100,98,98,98,75,0.7653061224489796,0.04281100628451433,-0.01095458136310324,0.07552771133046275,0.053436511647833286,0.04952841173315792,1.4134102133802966,1.524937075256524
skin_rich_design,all_accepted,fixed_range,baseline_Se20_0,100,98,98,98,87,0.8877551020408163,0.03188723448138099,-6.424739748076343e-05,0.028725095874341394,0.024760831037374705,0.023178321788985,1.1601022530698955,1.2393087012879587
skin_rich_design,all_accepted,fixed_range,baseline_Se20_1,100,98,98,98,81,0.826530612244898,0.03824968444140503,0.007641517600815607,0.04798281480835199,0.04279450543866747,0.041661701648592855,1.1212377457456622,1.151724795426656
