case,comparison,parameter,n,risk_difference,MCSE
cf_long16,coupled - initial,baseline_relative_ISE_1,99,-0.08229326736418621,0.0033806703330603195
cf_long16,coupled - initial,prediction_mse,99,-0.06360508196300688,0.0008806366947251271
cf_long16,coupled - initial,negative_prediction_fraction,99,0.0,0.0
cf_long16,coupled - projected_initial,treatment_0,99,6.279469522817048e-05,0.00016105262093257434
cf_long16,coupled - projected_initial,FEV10_0,99,0.00012676988875577594,1.59142178824325e-05
cf_long16,coupled - projected_initial,treatment_1,99,-0.002539398980313309,0.0004796937911438356
cf_long16,coupled - projected_initial,FEV10_1,99,-0.00036267170994146175,4.2262969628307045e-05
cf_long16,coupled - projected_initial,nu0,99,0.0034934397718821455,0.00037704159720435145
cf_long16,coupled - projected_initial,nu1,99,-0.019482081225357887,0.0003726008796224288
cf_long16,coupled - projected_initial,theta,99,-0.00017974439473037127,5.290549055405241e-05
cf_long16,coupled - projected_initial,cumulative_relative_0,99,0.007613502146804598,0.0005585100545245211
cf_long16,coupled - projected_initial,cumulative_relative_1,99,-0.07665555388460552,0.0032369037075468707
cf_long16,coupled - projected_initial,baseline_relative_ISE_0,99,0.007450028952798509,0.0005627250406790118
cf_long16,coupled - projected_initial,baseline_relative_ISE_1,99,-0.08229326736418621,0.0033806703330603195
cf_long16,coupled - projected_initial,prediction_mse,99,-0.06360508196300688,0.0008806366947251271
cf_long16,coupled - projected_initial,negative_prediction_fraction,99,0.0,0.0
cf_long16,fallback - projected_initial,treatment_0,100,6.216674827588878e-05,0.00015943519715684283
cf_long16,fallback - projected_initial,FEV10_0,100,0.0001255021898682182,1.580519359776586e-05
cf_long16,fallback - projected_initial,treatment_1,100,-0.002514004990510176,0.00047555111745723876
cf_long16,fallback - projected_initial,FEV10_1,100,-0.0003590449928420472,4.19951009843568e-05
cf_long16,fallback - projected_initial,nu0,100,0.003458505374163324,0.00037488340967017605
cf_long16,fallback - projected_initial,nu1,100,-0.019287260413104305,0.00041714498207774686
cf_long16,fallback - projected_initial,theta,100,-0.00017794695078306752,5.240459824188454e-05
cf_long16,fallback - projected_initial,cumulative_relative_0,100,0.0075373671253365524,0.0005581141038164361
cf_long16,fallback - projected_initial,cumulative_relative_1,100,-0.07588899834575946,0.0032947840739307372
